age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income category
39,6,278.4169535067863,9,13,4,0,1,4,1,12.954475875653415,0.0,40,38,0
50,5,288.63644953470447,9,13,2,3,0,4,1,0.0,0.0,13,38,0
38,3,464.37700201452697,11,9,0,5,1,4,1,0.0,0.0,40,38,0
53,3,484.4801337516328,1,7,2,5,0,2,1,0.0,0.0,40,38,0
28,3,581.7293184978732,9,13,2,9,5,2,0,0.0,0.0,40,4,0
37,3,533.4622760795744,12,14,2,3,5,4,0,0.0,0.0,40,38,0
49,3,400.23368174105485,6,5,3,7,1,2,0,0.0,0.0,16,22,0
52,5,457.86679285573877,11,9,2,3,0,4,1,0.0,0.0,45,38,1
31,3,213.96495040076073,12,14,4,9,1,4,0,24.14952940141776,0.0,50,38,1
42,3,399.3106560060725,9,13,2,3,0,4,1,17.300315184652735,0.0,40,38,1
37,3,529.5885195130272,15,10,2,3,0,2,1,0.0,0.0,80,38,1
30,6,375.8949321286468,9,13,2,9,0,1,1,0.0,0.0,40,18,1
23,3,349.67413401622946,9,13,4,0,3,4,0,0.0,0.0,30,38,0
32,3,452.79023841067954,7,12,4,11,1,2,1,0.0,0.0,50,38,0
40,3,348.95845024873665,8,11,2,2,0,1,1,0.0,0.0,40,38,1
34,3,495.46644689625555,5,4,2,13,0,0,1,0.0,0.0,45,25,0
25,5,420.42359591250346,11,9,4,4,3,4,1,0.0,0.0,35,38,0
32,3,432.231419496547,11,9,4,6,4,4,1,0.0,0.0,40,38,0
38,3,169.96176040509818,1,7,2,11,0,4,1,0.0,0.0,50,38,0
43,5,540.5321452050747,12,14,0,3,4,4,0,0.0,0.0,45,38,1
40,3,439.9136278862022,10,16,2,9,0,4,1,0.0,0.0,60,38,1
54,3,549.6780876112855,11,9,5,7,4,2,0,0.0,0.0,20,38,0
35,0,277.2093072030591,6,5,2,4,0,2,1,0.0,0.0,40,38,0
43,3,342.1067084989711,1,7,2,13,0,4,1,0.0,12.686794714367842,40,38,0
59,3,330.1741964478751,11,9,0,12,4,4,0,0.0,0.0,40,38,0
56,1,465.6726317919059,9,13,2,12,0,4,1,0.0,0.0,40,38,1
19,3,410.23651714590204,11,9,4,2,3,4,1,0.0,0.0,40,38,0
54,3,424.5126617664072,15,10,2,9,0,1,1,0.0,0.0,60,34,1
39,3,606.0198016566785,11,9,0,3,1,4,1,0.0,0.0,80,38,0
49,3,439.7340105108996,11,9,2,2,0,4,1,0.0,0.0,40,38,0
23,1,436.70241583943636,7,12,4,10,1,4,1,0.0,0.0,52,38,0
20,3,515.7664200003719,15,10,4,11,3,2,1,0.0,0.0,44,38,0
45,3,622.0450144483115,9,13,0,3,3,4,1,0.0,11.208157322621549,40,38,0
30,0,244.84893301789165,15,10,2,0,3,4,1,0.0,0.0,40,38,0
22,6,558.13260073212,15,10,2,7,0,2,1,0.0,0.0,15,38,0
48,3,492.3474382994188,1,7,4,6,4,4,1,0.0,0.0,40,32,0
21,3,444.07206622349037,15,10,4,6,3,4,1,0.0,0.0,40,38,0
19,3,737.6252436027389,11,9,1,0,5,4,0,0.0,0.0,25,38,0
31,3,290.09308850780985,15,10,2,11,0,4,1,0.0,0.0,38,38,1
48,5,515.2446021066111,7,12,2,9,0,4,1,0.0,0.0,40,38,0
